,Labels,TimeStamps
886,['Onset Stim3'],1706284856.0080588
887,['Response: right_1'],1706284856.7962139
888,['Offset Stim3'],1706284856.7962468
889,['Onset Stim3'],1706284857.3580246
890,['Response: right_1'],1706284857.9414968
891,['Offset Stim3'],1706284857.9415302
892,['Onset Stim3'],1706284858.491384
893,['Response: right_1'],1706284859.1626718
894,['Offset Stim3'],1706284859.1627033
895,['Onset Stim3'],1706284859.724717
896,['Response: left_1'],1706284860.408046
897,['Offset Stim3'],1706284860.408075
898,['Onset Stim3'],1706284860.9578872
899,['Response: right_1'],1706284861.7913976
900,['Offset Stim3'],1706284861.7914293
901,['Onset Stim3'],1706284862.3412228
902,['Response: left_1'],1706284862.9746158
903,['Offset Stim3'],1706284862.9746473
904,['Onset Stim3'],1706284863.5289507
905,['Response: left_1'],1706284864.174615
906,['Offset Stim3'],1706284864.174641
907,['Onset Stim3'],1706284864.7246087
908,['Response: left_1'],1706284865.4081135
909,['Offset Stim3'],1706284865.4081445
910,['Onset Stim3'],1706284865.9622896
911,['Response: left_1'],1706284866.5247574
912,['Offset Stim3'],1706284866.524788
913,['Onset Stim3'],1706284867.0747743
914,['Response: left_1'],1706284867.8463717
915,['Offset Stim3'],1706284867.8464012
916,['Onset Stim3'],1706284868.407957
917,['Response: right_1'],1706284869.258254
918,['Offset Stim3'],1706284869.2582932
919,['Onset Stim3'],1706284869.8079662
920,['Response: left_1'],1706284870.4461079
921,['Offset Stim3'],1706284870.4461339
922,['Onset Stim3'],1706284871.007939
923,['Response: left_1'],1706284871.8914554
924,['Offset Stim3'],1706284871.8914864
925,['Onset Stim3'],1706284872.4456809
926,['Response: right_1'],1706284873.124819
927,['Offset Stim3'],1706284873.1248522
928,['Onset Stim3'],1706284873.674797
929,['Response: left_1'],1706284874.712864
930,['Offset Stim3'],1706284874.7128954
931,['Onset Stim3'],1706284875.2749395
932,['Response: right_1'],1706284876.108289
933,['Offset Stim3'],1706284876.1083236
934,['Onset Stim3'],1706284876.674796
935,['Response: right_1'],1706284877.4416232
936,['Offset Stim3'],1706284877.441653
937,['Onset Stim3'],1706284877.9913442
938,['Response: right_1'],1706284878.658146
939,['Offset Stim3'],1706284878.6581764
940,['Onset Stim3'],1706284879.212382
941,['Response: right_1'],1706284879.758311
942,['Offset Stim3'],1706284879.7583406
943,['Onset Stim3'],1706284880.3081195
944,['Response: right_1'],1706284881.1082935
945,['Offset Stim3'],1706284881.1083195
946,['Onset Stim3'],1706284881.6623616
947,['Response: right_1'],1706284882.3415322
948,['Offset Stim3'],1706284882.3415642
949,['Onset Stim3'],1706284882.9083273
950,['Response: left_1'],1706284883.629223
951,['Offset Stim3'],1706284883.629253
952,['Onset Stim3'],1706284884.1915536
953,['Response: right_1'],1706284884.9250154
954,['Offset Stim3'],1706284884.9250464
955,['Onset Stim3'],1706284885.474753
956,['Response: left_1'],1706284886.0293279
957,['Offset Stim3'],1706284886.029358
958,['Onset Stim3'],1706284886.5913954
959,['Response: left_1'],1706284887.1915507
960,['Offset Stim3'],1706284887.1915815
961,['Onset Stim3'],1706284887.7580345
962,['Response: left_1'],1706284888.3628125
963,['Offset Stim3'],1706284888.3628433
964,['Onset Stim3'],1706284888.925166
965,['Response: right_1'],1706284889.5918112
