sectionname,starttime,endtime,duration,responsetime,delta,condition,response,accuracy
Stim1_182,261.5799181461334,262.0843560695648,0.5044379234313965,,,,,
Stim1_183,262.1178369522095,262.73011112213135,0.612274169921875,262.73011112213135,0.612274169921875,left-inc,left,1
Stim1_184,262.7633249759674,263.279953956604,0.5166289806365967,,,,,
Stim1_185,263.3134310245514,263.9301121234894,0.6166810989379883,263.9301121234894,0.6166810989379883,left-inc,left,1
Stim1_186,263.9632999897003,264.46332907676697,0.5000290870666504,,,,,
Stim1_187,264.49659514427185,265.1799600124359,0.6833648681640625,265.1799600124359,0.6833648681640625,left-con,left,1
Stim1_188,265.21333408355713,265.71336102485657,0.5000269412994385,,,,,
Stim1_189,265.746591091156,266.3674440383911,0.6208529472351074,266.3674440383911,0.6208529472351074,right-con,right,1
Stim1_190,266.4012930393219,266.91336607933044,0.5120730400085449,,,,,
Stim1_191,266.9466450214386,267.5466511249542,0.600006103515625,267.5466511249542,0.600006103515625,left-neut,left,1
Stim1_192,267.5800371170044,268.0801291465759,0.5000920295715332,,,,,
Stim1_193,268.11338996887207,268.6512050628662,0.5378150939941406,268.6512050628662,0.5378150939941406,right-con,right,1
Stim1_194,268.68479013442993,269.1967439651489,0.5119538307189941,,,,,
Stim1_195,269.23003101348877,269.8135070800781,0.5834760665893555,269.8135070800781,0.5834760665893555,right-neut,right,1
Stim1_196,269.846715927124,270.34674310684204,0.5000271797180176,,,,,
Stim1_197,270.38017201423645,270.9344129562378,0.5542409420013428,270.9344129562378,0.5542409420013428,left-neut,left,1
Stim1_198,270.9678750038147,271.4800910949707,0.5122160911560059,,,,,
Stim1_199,271.5135600566864,272.16356205940247,0.6500020027160645,272.16356205940247,0.6500020027160645,right-inc,right,1
Stim1_200,272.1967749595642,272.6967921257019,0.5000171661376953,,,,,
Stim1_201,272.73007893562317,273.3967499732971,0.6666710376739502,273.3967499732971,0.6666710376739502,left-neut,left,1
